name1,name2,time
12288-121.41397-31.19547001,12318-121.41397-31.19547001,2
dc364f66b9299b4a00591287d57c9ec3,fd5698323bde79b1b1045e0419df82f3,2
010213-121.46666-31.23527001,010210-121.46666-31.23527001,2
64af3f933c5803397b5e4ba7f68c03ee,cf420bc6b0cd32bbd071089012ea3cb6,2
010611-121.46496-31.19942001,122810-121.46496-31.19942001,11
38ce7506e22c4ec4d23d45b34ccb31ef,d51a8384e8fc1eb237396eb869a16152,2
010119-121.41833-31.17555001,123021-121.41833-31.17555001,2
4dabc1407428721f944a42ca87e53aff,8fcd9e02aa8c04561caf47f8d2b692bf,2
123110-121.4411667-31.19747223,010414-121.4411667-31.19747223,2
b70fed151a1602707f4ff52224ad895f,d51a8384e8fc1eb237396eb869a16152,2
01056-121.41833-31.17555001,01051-121.41833-31.17555001,7
38f1c1faef2e4f605c6117000240350e,536ff3db98687cef1279c94eef0d4d9d,2
122717-121.40083-31.22528001,122716-121.40083-31.22528001,2
7bdea42b0807e9a67f62a519eed987e0,2d5e730a12535f9aa2778766b3df145f,2
010417-121.48276-31.29193001,010512-121.48276-31.29193001,3
7ddbb6838b9086a816897e0898ad3cd2,8813d478fe354c0b045440e08405b675,2
122910-121.45404-31.03627001,122911-121.45404-31.03627001,2
a2591dac42fdb268a1de31ce587c89b8,40353287c16bc176212bdb9a281c5c68,2
01032-121.4018333-31.22219445,12301-121.4018333-31.22219445,8
f6fdc5ef7813f09ac0081203ba65a929,f9316a1064cc196a6a37a932c8733214,2
12288-121.42306-31.22528001,12308-121.42306-31.22528001,2
bc0c2b70f0c379d5a15c0129f9890bc0,9829d29f0a0e92c35c7835717fc2ebb5,2
123023-121.40813-31.27258001,123024-121.40813-31.27258001,2
a145ab366d27c5469e1de1317664de0a,93328ae4a8b698ce40b62fb08eb5aca2,2
010311-121.5893-31.28280001,010310-121.5893-31.28280001,2
4114e84946d75e317bc1a49fb163f626,bf1c4115468b9861338cbd245127790c,2
122824-121.5158-31.08537,123121-121.5158-31.08537,30
c74145387d4c217bd9ac23a2e9248ed6,25f1936af83b0bd8468f536a3671ca5b,2
123014-121.30987-31.12215001,010412-121.30987-31.12215001,12
2b58a006a6d875b95a3855cf13b57168,a7ab8fff321d9a9a73cf459fd9b4e963,2
010222-121.4175-31.19619001,010221-121.4175-31.19619001,2
371b30e6203acca340c0ea9fa22ade4a,27fa0e2c3d54ede6fd6aa12ff7d459e3,2
01063-121.43936-31.18538001,010112-121.43936-31.18538001,3
c97725f908a4ca2945298e249b42d987,8d4cbac4bf04cbcfffec42e791f4b760,2
01058-121.63481-31.02834001,123118-121.63481-31.02834001,3
a0eea8ef34a9739be42259f18ef8f5d7,e1356c63a7fbb0235163fc5a0002bac4,2
123019-121.48731-31.22773001,122915-121.48731-31.22773001,2
dc7f0f80ca55d447781e7b381c26960e,5ceea0cf888826296fa0359e0f3d14c6,2
12288-121.41831-31.17318001,01068-121.41831-31.17318001,3
bc00a54eba1cd717d10a1d47ded935a4,7055bde64ae9346477f00451a4fe71e8,2
01013-121.54944-31.18493001,01043-121.54944-31.18493001,3
8500bb183b5244944a2202e29c954f94,1ac7efce3e65558e6d344e48eb4e2cfc,2
01062-121.532579-31.15461801,12286-121.532579-31.15461801,14
04c5fa5012c4f5ca6f6a8b510d346024,2c941387893748345e2d6a6060f8813a,2
01037-121.41117-31.26132001,01045-121.41117-31.26132001,2
b6c8932cc749b08c48642cd0132ddc2f,bfe67e4d93d0b1d2eb59a277f78753ae,2
122720-121.43247-31.26429001,12292-121.43247-31.26429001,9
d14a99e6308f45c6269b2e4111c80460,50f5fb1fa9a0a559452bfe1a5e6f46b9,2
010411-121.47908-31.2571,010410-121.47908-31.2571,2
cdf9389737ed0ca17379986ad63cc9a2,8b186c79da17dff4934da021973bfc65,2
010521-121.47861-31.20417001,010321-121.47861-31.20417001,2
8b9593ed149fc6702abd29bf067b483b,1a716f704868d005fbef5fe95f12bb58,2
010423-121.0819889-31.1537806,010422-121.0819889-31.1537806,2
5ae2c16441799e5426f822cc27a172de,2db58648e9c278dcd6fd0f8381305e68,2
12319-121.516-31.24090001,010413-121.516-31.24090001,2
8a69d587dd2085ec1161dc9130878a1e,b59661fc86f72a9a38a06dcba28117df,2
010512-121.3152-31.13886001,123123-121.3152-31.13886001,2
3ae60f60c5766141be47d7f5a55dd2ae,7055bde64ae9346477f00451a4fe71e8,2
01067-121.54944-31.18493001,122714-121.5461-31.19650001,2
d32bd9b620eeddedff6f6eaa360eb7c7,e632d0282b5426bacf572c25c9bcec20,2
122813-121.50414-31.10109001,010218-121.4735-31.23763001,2
116e50c06e08fae48b0d75f66c94dbd4,dd5bb87acb732058ff08482a622b6a5c,2
01058-121.42337-31.26472001,12298-121.42337-31.26472001,2
5138b926d55fb1f5fe0efecfbc8e70aa,3cfa012556d10fa6c5f81691752c10db,2
123017-121.414027-31.24256401,123016-121.414027-31.24256401,2
55e5aae4445de3a8d05dfc4198bbe7cf,7bcad96872848f41fdc49d1d19f9fdf8,2
01011-121.34123-31.16363001,01012-121.34123-31.16363001,3
d6eb7a508ef2c6804faa1b988859c42c,b6bf7cfd23334c438260a80c489bcca0,2
123018-121.49628-31.27695001,123014-121.49628-31.27695001,6
44e68f641faa1645be6d5c1acd1b5e35,fc2a056e8a9c814f960fdbed91edfd83,2
01042-121.8389194,30.8658611,3
